name,title,company,person_location,company_hq,email,linkedin_url,funding_stage,uses_invitro,open_to_nams,recent_publication,hub_location
Dr. Emily Chen,Director of Toxicology,VitroCell Therapeutics,San Francisco CA,South San Francisco CA,e.chen@vitrocell.bio,https://linkedin.com/in/emilychen,Series A,Yes,Yes,Yes,Yes
James Rodriguez,Senior Scientist,BioSafe Labs,Cambridge MA,Boston MA,j.rodriguez@biosafelabs.com,https://linkedin.com/in/jamesrodriguez,Series B,Yes,Yes,No,Yes
Dr. Sarah Mitchell,Head of Preclinical Safety,NeuroPharma Inc,San Diego CA,La Jolla CA,s.mitchell@neuropharma.com,https://linkedin.com/in/sarahmitchell,Series B,Yes,No,Yes,Yes
Michael Zhang,3D Cell Culture Specialist,OrganoTech,Research Triangle Park NC,Durham NC,m.zhang@organotech.io,https://linkedin.com/in/michaelzhang,Series A,Yes,Yes,Yes,Yes
Dr. Lisa Anderson,VP of Drug Safety,GeneBio Solutions,Seattle WA,Seattle WA,l.anderson@genebio.com,https://linkedin.com/in/lisaanderson,Public,No,No,Yes,Yes
Robert Kim,Hepatic Toxicology Lead,LiverWorks Biotech,Austin TX,Austin TX,r.kim@liverworks.bio,https://linkedin.com/in/robertkim,Series A,Yes,Yes,Yes,Yes
Dr. Jennifer Taylor,Research Director,CellDynamics,Boulder CO,Boulder CO,j.taylor@celldynamics.com,https://linkedin.com/in/jennifertaylor,Series B,Yes,Yes,No,No
David Martinez,Principal Scientist,InVitro Innovations,Raleigh NC,Raleigh NC,d.martinez@invitroinnovations.com,https://linkedin.com/in/davidmartinez,Seed,Yes,No,Yes,Yes
Dr. Amanda Lewis,Chief Scientific Officer,BioPredict Corp,San Francisco CA,San Francisco CA,a.lewis@biopredict.com,https://linkedin.com/in/amandalewis,Series B,Yes,Yes,Yes,Yes
Christopher Wong,Safety Assessment Manager,PharmaCell Systems,Cambridge MA,Cambridge MA,c.wong@pharmacell.com,https://linkedin.com/in/christopherwong,Series A,Yes,No,No,Yes
Dr. Maria Garcia,Preclinical Lead,RegeneraGen,San Diego CA,San Diego CA,m.garcia@regeneragen.bio,https://linkedin.com/in/mariagarcia,Series A,Yes,Yes,Yes,Yes
Thomas Brown,Senior Toxicologist,SafetyFirst Bio,Waltham MA,Boston MA,t.brown@safetyfirstbio.com,https://linkedin.com/in/thomasbrown,Seed,No,Yes,No,Yes
Dr. Nicole Johnson,Director of Research,3D BioSystems,Minneapolis MN,Minneapolis MN,n.johnson@3dbiosystems.com,https://linkedin.com/in/nicolejohnson,Series A,Yes,Yes,No,No
Kevin White,Associate Director,CellTox Labs,South San Francisco CA,San Francisco CA,k.white@celltoxlabs.com,https://linkedin.com/in/kevinwhite,Series B,Yes,No,Yes,Yes
Dr. Rachel Green,Head of In Vitro,BioAlternatives Inc,Seattle WA,Seattle WA,r.green@bioalternatives.com,https://linkedin.com/in/rachelgreen,None,Yes,Yes,Yes,Yes
Daniel Lee,3D Culture Scientist,OrganoidTech,San Diego CA,San Diego CA,d.lee@organoidtech.bio,https://linkedin.com/in/daniellee,Seed,Yes,Yes,No,Yes
Dr. Michelle Davis,VP Preclinical Development,NextGen Pharma,Cambridge MA,Boston MA,m.davis@nextgenpharma.com,https://linkedin.com/in/michelledavis,Public,Yes,No,Yes,Yes
Andrew Wilson,Toxicology Group Leader,VitroSafe,Austin TX,Austin TX,a.wilson@vitrosafe.com,https://linkedin.com/in/andrewwilson,Series A,Yes,Yes,Yes,No
Dr. Stephanie Moore,Principal Investigator,CellSafety Institute,Research Triangle Park NC,Durham NC,s.moore@cellsafety.org,https://linkedin.com/in/stephaniemoore,None,Yes,No,Yes,Yes
Brian Taylor,Senior Research Scientist,HepatoGen,Boulder CO,Boulder CO,b.taylor@hepatogen.bio,https://linkedin.com/in/briantaylor,Seed,No,No,No,No
